['$GNRMC', '190832.00', 'A', '6004.25914', 'N', '03015.62097', 'E', '0.029', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '190833.00', 'A', '6004.25917', 'N', '03015.62096', 'E', '0.077', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '190834.00', 'A', '6004.25919', 'N', '03015.62095', 'E', '0.054', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '190835.00', 'A', '6004.25918', 'N', '03015.62070', 'E', '0.063', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '190836.00', 'A', '6004.25917', 'N', '03015.62047', 'E', '0.062', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '190837.00', 'A', '6004.25916', 'N', '03015.62018', 'E', '0.025', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '190838.00', 'A', '6004.25916', 'N', '03015.61986', 'E', '0.045', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '190839.00', 'A', '6004.25912', 'N', '03015.62006', 'E', '0.051', '', '250525', '', '', 'D*6A\r\n']
['$GNRMC', '190840.00', 'A', '6004.25899', 'N', '03015.62062', 'E', '0.050', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '190841.00', 'A', '6004.25888', 'N', '03015.62111', 'E', '0.038', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '190842.00', 'A', '6004.25881', 'N', '03015.62143', 'E', '0.046', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '190843.00', 'A', '6004.25874', 'N', '03015.62185', 'E', '0.141', '', '250525', '', '', 'D*6C\r\n']
['$GNRMC', '190844.00', 'A', '6004.25872', 'N', '03015.62223', 'E', '0.023', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '190845.00', 'A', '6004.25865', 'N', '03015.62250', 'E', '0.068', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '190846.00', 'A', '6004.25861', 'N', '03015.62293', 'E', '0.069', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '190847.00', 'A', '6004.25854', 'N', '03015.62339', 'E', '0.083', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '190848.00', 'A', '6004.25850', 'N', '03015.62373', 'E', '0.030', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '190849.00', 'A', '6004.25846', 'N', '03015.62386', 'E', '0.018', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '190850.00', 'A', '6004.25842', 'N', '03015.62410', 'E', '0.033', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '190851.00', 'A', '6004.25839', 'N', '03015.62438', 'E', '0.036', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '190852.00', 'A', '6004.25837', 'N', '03015.62461', 'E', '0.046', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '190853.00', 'A', '6004.25834', 'N', '03015.62474', 'E', '0.078', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '190854.00', 'A', '6004.25826', 'N', '03015.62505', 'E', '0.053', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '190855.00', 'A', '6004.25820', 'N', '03015.62532', 'E', '0.010', '', '250525', '', '', 'D*67\r\n']
['$GNRMC', '190856.00', 'A', '6004.25818', 'N', '03015.62541', 'E', '0.030', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '190857.00', 'A', '6004.25813', 'N', '03015.62561', 'E', '0.029', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '190858.00', 'A', '6004.25808', 'N', '03015.62581', 'E', '0.028', '', '250525', '', '', 'D*63\r\n']
['$GNRMC', '190859.00', 'A', '6004.25803', 'N', '03015.62594', 'E', '0.043', '', '250525', '', '', 'D*60\r\n']
['$GNRMC', '190900.00', 'A', '6004.25799', 'N', '03015.62609', 'E', '0.070', '', '250525', '', '', 'D*66\r\n']
['$GNRMC', '190901.00', 'A', '6004.25797', 'N', '03015.62620', 'E', '0.052', '', '250525', '', '', 'D*62\r\n']
['$GNRMC', '190902.00', 'A', '6004.25796', 'N', '03015.62628', 'E', '0.041', '', '250525', '', '', 'D*6A\r\n']
['$GNRMC', '191122.00', 'A', '6004.25802', 'N', '03015.63316', 'E', '0.041', '', '250525', '', '', 'A*6F\r\n']
['$GNRMC', '191123.00', 'A', '6004.25801', 'N', '03015.63094', 'E', '0.033', '', '250525', '', '', 'A*61\r\n']
['$GNRMC', '191124.00', 'A', '6004.25798', 'N', '03015.63010', 'E', '0.037', '', '250525', '', '', 'A*61\r\n']
['$GNRMC', '191125.00', 'A', '6004.25806', 'N', '03015.62942', 'E', '0.050', '', '250525', '', '', 'A*66\r\n']
['$GNRMC', '191126.00', 'A', '6004.25801', 'N', '03015.62840', 'E', '0.010', '', '250525', '', '', 'A*65\r\n']
['$GNRMC', '191127.00', 'A', '6004.25794', 'N', '03015.62786', 'E', '0.051', '', '250525', '', '', 'A*67\r\n']
['$GNRMC', '191128.00', 'A', '6004.25797', 'N', '03015.62726', 'E', '0.014', '', '250525', '', '', 'A*60\r\n']
