['$GNRMC', '124118.00', 'A', '6004.25903', 'N', '03015.67416', 'E', '0.031', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '124119.00', 'A', '6004.25904', 'N', '03015.67402', 'E', '0.025', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '124120.00', 'A', '6004.25905', 'N', '03015.67385', 'E', '0.066', '', '250525', '', '', 'D*6B\r\n']
['$GNRMC', '124121.00', 'A', '6004.25904', 'N', '03015.67366', 'E', '0.108', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '124122.00', 'A', '6004.25900', 'N', '03015.67347', 'E', '0.035', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '124123.00', 'A', '6004.25894', 'N', '03015.67331', 'E', '0.023', '', '250525', '', '', 'D*6F\r\n']
['$GNRMC', '124124.00', 'A', '6004.25885', 'N', '03015.67329', 'E', '0.018', '', '250525', '', '', 'D*69\r\n']
['$GNRMC', '124125.00', 'A', '6004.25880', 'N', '03015.67309', 'E', '0.064', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '124126.00', 'A', '6004.25879', 'N', '03015.67292', 'E', '0.062', '', '250525', '', '', 'D*64\r\n']
['$GNRMC', '124127.00', 'A', '6004.25878', 'N', '03015.67281', 'E', '0.047', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '124128.00', 'A', '6004.25880', 'N', '03015.67289', 'E', '0.012', '', '250525', '', '', 'D*61\r\n']
['$GNRMC', '124129.00', 'A', '6004.25880', 'N', '03015.67306', 'E', '0.033', '', '250525', '', '', 'D*65\r\n']
['$GNRMC', '124130.00', 'A', '6004.25882', 'N', '03015.67319', 'E', '0.018', '', '250525', '', '', 'D*68\r\n']
['$GNRMC', '124131.00', 'A', '6004.25886', 'N', '03015.67331', 'E', '0.012', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '124132.00', 'A', '6004.25886', 'N', '03015.67333', 'E', '0.013', '', '250525', '', '', 'D*6D\r\n']
['$GNRMC', '124133.00', 'A', '6004.25888', 'N', '03015.67338', 'E', '0.014', '', '250525', '', '', 'D*6E\r\n']
